Partner_Description,Hiscox_COB,full_industry_code
Manufacturing – Commercial Electrical Appliance & Accessories,OOA,0
Manufacturing – Commercial Refrigeration Equipment,OOA,0
Manufacturing – Countertops,OOA,0
"Manufacturing – Creamery, Butter",OOA,0
Manufacturing – Dairy Products,OOA,0
Manufacturing – Doors and Windows,OOA,0
Manufacturing – Drapery and Shades,OOA,0
"Manufacturing – Drapery Hardware, Window Blinds and Shades",OOA,0
"Manufacturing – Dried and Dehydrated Fruits, Vegetables and Soup Mixes",OOA,0
"Manufacturing – Dry Food Products, Frying",OOA,0
"Manufacturing – Dry Food Products, Non-Frying",OOA,0
"Manufacturing – Dry, Condensed or Evaporated Milk",OOA,0
Manufacturing – Electrical Signs,OOA,0
Manufacturing – Eyeglass Lenses,OOA,0
Manufacturing – Flavored Extracts and Syrups,OOA,0
Manufacturing – Fluid Milk,OOA,0
"Manufacturing – Fruit Drink, Soda, Carbonated Water – Glass Container",OOA,0
"Manufacturing – Fruit Drink, Soda, Carbonated Water – Plastic Container",OOA,0
"Manufacturing – Fruit or Vegetable Juice, Frozen",OOA,0
"Manufacturing – Fruit or Vegetable Juice, Paper Container or Carton",OOA,0
Manufacturing – Glassware,OOA,0
Manufacturing – Ice Cream and Frozen Desserts,OOA,0
Manufacturing – Industrial Patterns,OOA,0
Manufacturing – Jewelry,OOA,0
Manufacturing – Kit Cars or Other Auto,OOA,0
Manufacturing – Lamp Shades,OOA,0
Manufacturing – Lighting Fixtures,OOA,0
"Manufacturing – Meat Prepared Products, Airtight Packaging",OOA,0
"Manufacturing – Meat Prepared Products, Frozen",OOA,0
Manufacturing – Media Duplication,OOA,0
"Manufacturing – Metal Goods – Auto Stamping Fenders, Hubcaps and Body Parts",OOA,0
"Manufacturing – Metal Goods – Bolts, Nuts and Rivets",OOA,0
Manufacturing – Metal Goods – Cold Stamping Component Parts,OOA,0
Manufacturing – Metal Goods – Cutlery and Flatware,OOA,0
"Manufacturing – Metal Goods – Cutting, Machine or Measuring Tools",OOA,0
"Manufacturing – Metal Goods – Dies, Jigs and Fixtures",OOA,0
"Manufacturing – Metal Goods – Doors, Sashes, and Frames",OOA,0
Manufacturing - Metal Goods – Electrical Parts and Components Accessories,OOA,0
Manufacturing – Metal Goods – Fabricated Pieces,OOA,0
Manufacturing – Metal Goods – Fabricated Wire Products and Wire Shelves,OOA,0
